"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
86;"U901";"SOT-23-5";1;"74AUC1G17";;;
87;"U1101";"SOT-23-6";1;"74LVC2G17";;;
88;"U1201,U1301,U1302,U1303";"SOT-143";4;"MAX6816";;;
89;"U1202";"SOT-363_SC-70-6";1;"74LVC1G11";;;
90;"U1401";"ECS-327KE";1;"ECS-327KE";;;
91;"Y501";"CX5032GB20000H0PESZZ";1;"20MHz";;;
92;"REF**,REF**,REF**,REF**";"MountingHole_3mm";4;"MountingHole_3mm";;;
93;"G***";"Logo_silk_polarity_center_5x1.4mm";1;"LOGO";;;
94;"REF***";"WEEE-Logo_8.4x12mm_SilkScreen";1;"WEEE-Logo_8.4x12mm_SilkScreen";;;
95;"DTM_Logo_Small";"DTM_Logo_Small_Flipped";1;"DTM_Logo_Small";;;
